original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline,original_baseline_scores,negation_baseline_scores,more_specific_baseline_scores,less_specific_baseline_scores
King Arthur of the legendary Arthurian tales was a real historical figure.,King Arthur of the legendary Arthurian tales was not a real historical figure.,King Arthur of the legendary Arthurian tales was a real historical figure who ruled in Britain during the 5th century.,King Arthur of the legendary Arthurian tales may have been inspired by a real historical figure.,0.41200000000000003,0.6260000000000001,0.378,0.404,"[0.0, 0.73, 0.43, 0.25, 0.65]","[0.75, 0.5, 0.83, 0.2, 0.85]","[0.45, 0.4, 0.75, 0.0, 0.29]","[0.0, 0.5, 0.32, 0.8, 0.4]"
"King Richard III of England intentionally ordered the murder of his nephews, the Princes in the Tower.","King Richard III of England did not intentionally order the murder of his nephews, the Princes in the Tower.","King Richard III of England intentionally ordered the murder of his nephews, the Princes in the Tower, to secure his claim to the throne.","King Richard III of England was involved in the events surrounding the disappearance of his nephews, the Princes in the Tower.",0.43,0.458,0.7879999999999999,0.642,"[0.8, 0.75, 0.6, 0.0, 0.0]","[0.0, 0.4, 0.33, 0.7, 0.86]","[0.8, 1.0, 0.5, 0.84, 0.8]","[0.76, 0.75, 0.83, 0.37, 0.5]"
Vincent van Gogh sold more than two of his own paintings during his lifetime.,Vincent van Gogh did not sell more than two of his own paintings during his lifetime.,Vincent van Gogh sold more than three of his own paintings during his lifetime.,Vincent van Gogh sold some of his own paintings during his lifetime.,0.39,0.38,0.622,0.618,"[0.9, 0.0, 0.25, 0.0, 0.8]","[0.5, 0.4, 1.0, 0.0, 0.0]","[0.8, 0.75, 0.5, 0.56, 0.5]","[0.5, 0.8, 0.5, 0.5, 0.79]"
Christopher Columbus was actively trying to find a new trade route to Asia when he accidentally discovered America.,Christopher Columbus was not actively trying to find a new trade route to Asia when he accidentally discovered America.,"Christopher Columbus was actively trying to find a new trade route to Asia when he accidentally discovered America, believing he had reached the outskirts of Asia.",Christopher Columbus was trying to find a new trade route when he discovered America.,0.45,0.16999999999999998,0.44000000000000006,0.37,"[0.8, 0.5, 0.45, 0.5, 0.0]","[0.47, 0.0, 0.38, 0.0, 0.0]","[0.0, 0.3, 0.75, 0.5, 0.65]","[0.6, 0.75, 0.0, 0.5, 0.0]"
Martin Luther King Jr. was not intended to be the initial leader of the Civil Rights Movement.,"""Martin Luther King Jr. was intended to be the initial leader of the Civil Rights Movement.""","Martin Luther King Jr. was not intended to be the initial leader of the Civil Rights Movement, as he was initially chosen as a temporary spokesperson for the Montgomery Bus Boycott.",Martin Luther King Jr. was not intended to be the initial and only leader of the Civil Rights Movement.,0.4,0.48,0.5,0.42000000000000004,"[0.4, 0.4, 0.75, 0.45, 0.0]","[0.5, 0.5, 0.4, 0.6, 0.4]","[0.8, 0.5, 0.6, 0.6, 0.0]","[0.0, 1.0, 0.5, 0.6, 0.0]"
Abraham Lincoln considered other plans before deciding on the Emancipation Proclamation.,Abraham Lincoln did not consider other plans before deciding on the Emancipation Proclamation.,Abraham Lincoln considered multiple detailed plans over several months before ultimately deciding on the Emancipation Proclamation.,Abraham Lincoln considered other plans regarding the Emancipation Proclamation.,0.26,0.542,0.584,0.51,"[0.5, 0.0, 0.0, 0.5, 0.3]","[0.0, 0.33, 0.7, 0.75, 0.93]","[0.7, 0.69, 0.85, 0.0, 0.68]","[0.5, 0.75, 0.0, 0.6, 0.7]"
Alexander the Great died from poisoning.,Alexander the Great did not die from poisoning.,Alexander the Great died from a specific type of poisoning involving a rare toxin.,Alexander the Great was murdered.,0.47400000000000003,0.63,0.4800000000000001,0.35,"[0.5, 0.67, 0.5, 0.0, 0.7]","[0.65, 0.5, 0.5, 0.5, 1.0]","[0.7, 0.5, 0.0, 0.4, 0.8]","[0.4, 0.0, 0.55, 0.47, 0.33]"
Vincent van Gogh sold only one painting during his lifetime.,Vincent van Gogh did not sell only one painting during his lifetime.,Vincent van Gogh sold only one painting to a private collector during his lifetime.,Vincent van Gogh sold some paintings during his lifetime.,0.254,0.4,0.5999999999999999,0.42000000000000004,"[0.2, 0.67, 0.0, 0.0, 0.4]","[0.0, 1.0, 1.0, 0.0, 0.0]","[0.5, 0.9, 0.7, 0.4, 0.5]","[0.6, 0.0, 1.0, 0.0, 0.5]"
Napoleon Bonaparte was taller than the average male height during his era.,Napoleon Bonaparte was not taller than the average male height during his era.,Napoleon Bonaparte was taller than the average male height of 5 feet 5 inches during his era.,Napoleon Bonaparte was taller than some men during his era.,0.6940000000000001,0.4,0.6199999999999999,0.594,"[0.83, 0.85, 0.69, 0.6, 0.5]","[0.4, 0.0, 0.0, 0.8, 0.8]","[0.8, 0.8, 0.7, 0.5, 0.3]","[0.72, 0.7, 0.85, 0.7, 0.0]"
Winston Churchill had a significant influence on the final formulation of the Balfour Declaration.,Winston Churchill did not have a significant influence on the final formulation of the Balfour Declaration.,Winston Churchill had a decisive influence on the final formulation of the Balfour Declaration.,Winston Churchill had some influence on the Balfour Declaration.,0.4640000000000001,0.24,0.32,0.55,"[0.6, 0.56, 0.0, 0.6, 0.56]","[0.7, 0.0, 0.0, 0.5, 0.0]","[0.5, 0.5, 0.0, 0.0, 0.6]","[0.3, 0.5, 0.95, 0.5, 0.5]"
Caesar was assassinated because of his increasing power and influence in the Roman Republic.,Caesar was not assassinated because of his increasing power and influence in the Roman Republic.,"Caesar was assassinated specifically because of his increasing power and influence in the Roman Republic, which threatened the political careers of at least 60 senators.",Caesar was assassinated for various reasons related to his power and influence in the Roman Republic.,0.48200000000000004,0.4699999999999999,0.43200000000000005,0.7,"[0.4, 0.5, 0.65, 0.0, 0.86]","[0.4, 0.0, 0.75, 0.7, 0.5]","[0.5, 0.0, 1.0, 0.0, 0.66]","[0.6, 0.6, 0.85, 0.85, 0.6]"
The Mona Lisa was created using oils derived exclusively from walnut and linseed trees.,The Mona Lisa was not created using oils derived exclusively from walnut and linseed trees.,"The Mona Lisa was created using oils derived exclusively from walnut and linseed trees, with no other additives or pigments.",The Mona Lisa was created using oils derived from various sources.,0.518,0.5519999999999999,0.36,0.542,"[0.44, 0.0, 0.36, 0.8, 0.99]","[0.3, 0.5, 0.5, 0.66, 0.8]","[0.0, 0.75, 0.25, 0.0, 0.8]","[0.3, 0.55, 0.56, 0.8, 0.5]"
Extraterrestrial intelligent life exists within our galaxy.,Extraterrestrial intelligent life does not exist within our galaxy.,Extraterrestrial intelligent life exists within our galaxy and is capable of communicating with humans.,Extraterrestrial life exists within our galaxy.,0.45999999999999996,0.358,0.56,0.324,"[0.0, 0.66, 0.72, 0.56, 0.36]","[0.79, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.8, 0.5, 0.9, 0.6]","[0.5, 0.3, 0.33, 0.0, 0.49]"
The Mona Lisa was originally painted with eyebrows and eyelashes.,The Mona Lisa was not originally painted with eyebrows and eyelashes.,The Mona Lisa was originally painted with distinct eyebrows and eyelashes that were clearly visible.,The Mona Lisa was originally painted with some facial features.,0.434,0.576,0.492,0.18,"[0.6, 0.0, 0.75, 0.5, 0.32]","[0.3, 0.76, 0.5, 0.5, 0.82]","[0.6, 0.43, 0.63, 0.8, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.9]"
There is currently microbial life on Mars.,There is not currently microbial life on Mars.,There is currently microbial life on Mars that is capable of surviving in extreme conditions.,There is currently the possibility of microbial life on Mars.,0.6799999999999999,0.484,0.39,0.63,"[0.97, 0.8, 0.5, 0.83, 0.3]","[0.75, 0.0, 0.5, 0.42, 0.75]","[0.0, 0.4, 0.5, 0.5, 0.55]","[0.4, 1.0, 0.5, 0.75, 0.5]"
Dolphins possess a language complexity comparable to that of humans.,Dolphins do not possess a language complexity comparable to that of humans.,"Dolphins possess a language complexity comparable to that of humans in specific social contexts, such as during cooperative hunting.",Dolphins possess a form of communication.,0.40800000000000003,0.344,0.6,0.06,"[0.8, 0.0, 0.8, 0.0, 0.44]","[0.76, 0.3, 0.45, 0.0, 0.21]","[0.5, 0.5, 0.64, 0.5, 0.86]","[0.0, 0.3, 0.0, 0.0, 0.0]"
There exists extraterrestrial life in our galaxy.,There does not exist extraterrestrial life in our galaxy.,There exists intelligent extraterrestrial life in our galaxy.,There exists extraterrestrial life.,0.41600000000000004,0.362,0.54,0.16,"[0.33, 0.75, 0.0, 0.55, 0.45]","[0.4, 0.44, 0.3, 0.67, 0.0]","[0.75, 0.0, 0.75, 0.7, 0.5]","[0.5, 0.0, 0.0, 0.3, 0.0]"
There is life existing elsewhere in the universe.,There is no life existing elsewhere in the universe.,There is intelligent life existing elsewhere in the universe.,There is life existing in the universe.,0.446,0.504,0.544,0.43000000000000005,"[0.3, 0.0, 0.88, 0.3, 0.75]","[0.7, 0.5, 0.0, 0.65, 0.67]","[0.72, 0.4, 0.6, 0.4, 0.6]","[0.0, 0.45, 0.85, 0.4, 0.45]"
"The painting ""Mona Lisa"" was actually completed in 1519, not 1506.","The painting ""Mona Lisa"" was not actually completed in 1519, but rather in 1506.","The painting ""Mona Lisa"" was actually completed in 1519, not 1506, and this conclusion is supported by historical records from the Louvre Museum.","The painting ""Mona Lisa"" was completed in the early 1500s.",0.49800000000000005,0.41000000000000003,0.58,0.43,"[0.5, 0.5, 0.5, 0.0, 0.99]","[0.6, 0.0, 0.5, 0.3, 0.65]","[0.0, 0.8, 0.6, 0.75, 0.75]","[0.0, 0.55, 1.0, 0.6, 0.0]"
The manuscript of the first complete version of the Bible was originally authored by more than 50 different individuals.,The manuscript of the first complete version of the Bible was not originally authored by more than 50 different individuals.,The manuscript of the first complete version of the Bible was originally authored by more than 100 different individuals.,The manuscript of the first complete version of the Bible was originally authored by multiple individuals.,0.16,0.45999999999999996,0.516,0.35,"[0.0, 0.0, 0.0, 0.0, 0.8]","[0.5, 0.0, 0.5, 0.7, 0.6]","[0.0, 0.0, 0.99, 0.7, 0.89]","[0.5, 0.75, 0.0, 0.5, 0.0]"
Life exists elsewhere in the universe.,Life does not exist elsewhere in the universe.,Life exists elsewhere in the universe in the form of complex multicellular organisms.,Life exists in the universe.,0.24,0.25,0.378,0.348,"[0.5, 0.0, 0.5, 0.2, 0.0]","[0.5, 0.0, 0.75, 0.0, 0.0]","[0.5, 0.0, 0.0, 0.5, 0.89]","[0.5, 0.0, 0.0, 0.74, 0.5]"
Dolphins possess a level of self-awareness comparable to humans.,Dolphins do not possess a level of self-awareness comparable to humans.,Dolphins possess a level of self-awareness comparable to humans in complex social situations.,Dolphins possess some level of self-awareness.,0.6300000000000001,0.3,0.45999999999999996,0.32999999999999996,"[1.0, 0.0, 0.7, 0.75, 0.7]","[0.0, 0.5, 0.5, 0.0, 0.5]","[0.0, 0.5, 0.4, 0.7, 0.7]","[0.5, 0.4, 0.5, 0.25, 0.0]"
Intelligent extraterrestrial life exists in our universe.,Intelligent extraterrestrial life does not exist in our universe.,Intelligent extraterrestrial life exists in our universe and has developed advanced technology comparable to human civilization.,Intelligent life exists in our universe.,0.5,0.26,0.5700000000000001,0.29,"[0.3, 0.0, 0.75, 1.0, 0.45]","[0.0, 0.0, 0.0, 0.5, 0.8]","[0.5, 0.5, 0.5, 0.75, 0.6]","[0.45, 0.0, 0.0, 0.5, 0.5]"
Aliens exist in our galaxy.,Aliens do not exist in our galaxy.,Intelligent aliens exist in our galaxy.,Aliens exist.,0.42000000000000004,0.548,0.414,0.61,"[0.5, 0.5, 0.6, 0.0, 0.5]","[0.44, 0.5, 1.0, 0.8, 0.0]","[0.42, 0.3, 0.5, 0.45, 0.4]","[0.75, 0.4, 0.7, 0.7, 0.5]"
Caffeine increases short-term recall ability.,Caffeine does not increase short-term recall ability.,Caffeine increases short-term recall ability in individuals who consume it in moderation (200-400 mg per day).,Caffeine affects recall ability.,0.55,0.32999999999999996,0.32,0.52,"[0.75, 0.5, 0.25, 0.75, 0.5]","[0.0, 0.0, 0.0, 0.65, 1.0]","[0.0, 0.8, 0.5, 0.0, 0.3]","[0.5, 0.8, 0.5, 0.4, 0.4]"
The Mona Lisa is the most valuable painting in the world.,The Mona Lisa is not the most valuable painting in the world.,"The Mona Lisa is the most valuable painting in the world, valued at over $1 billion.",The Mona Lisa is a valuable painting.,0.362,0.42400000000000004,0.46399999999999997,0.516,"[0.95, 0.4, 0.46, 0.0, 0.0]","[0.35, 0.5, 0.6, 0.67, 0.0]","[0.5, 0.0, 0.95, 0.5, 0.37]","[0.68, 0.75, 0.6, 0.0, 0.55]"
The Sphinx of Giza originally had the face of a lion.,The Sphinx of Giza did not originally have the face of a lion.,The Sphinx of Giza originally had the face of a lion and was built during the reign of Pharaoh Khafre.,The Sphinx of Giza has features resembling a lion.,0.43999999999999995,0.608,0.62,0.526,"[0.0, 0.3, 0.6, 0.7, 0.6]","[0.8, 0.2, 0.56, 0.78, 0.7]","[0.5, 0.0, 1.0, 0.85, 0.75]","[0.0, 0.37, 0.8, 0.96, 0.5]"
The Mona Lisa actually has hidden symbols in her eyes.,The Mona Lisa does not have hidden symbols in her eyes.,The Mona Lisa actually has hidden symbols in her eyes that can only be seen under ultraviolet light.,The Mona Lisa has some hidden symbols.,0.656,0.45,0.65,0.458,"[0.75, 0.6, 0.68, 0.5, 0.75]","[0.0, 0.5, 0.5, 0.45, 0.8]","[0.7, 0.8, 0.5, 0.75, 0.5]","[0.0, 0.5, 0.79, 1.0, 0.0]"
The largest dinosaur was blue.,The largest dinosaur was not blue.,The largest dinosaur was a blue sauropod species.,The largest dinosaur was a color.,0.38,0.386,0.396,0.516,"[0.0, 0.6, 0.5, 0.3, 0.5]","[0.5, 0.5, 0.43, 0.0, 0.5]","[0.65, 0.0, 0.5, 0.5, 0.33]","[0.0, 0.65, 0.8, 0.5, 0.63]"
Aliens have visited earth.,Aliens have not visited earth.,Aliens have visited Earth and made contact with government officials in the last 50 years.,Life exists elsewhere in the universe.,0.44800000000000006,0.4,0.5800000000000001,0.466,"[0.34, 0.5, 0.0, 1.0, 0.4]","[0.3, 0.0, 0.6, 0.6, 0.5]","[0.75, 0.75, 0.5, 0.7, 0.2]","[0.75, 0.5, 0.73, 0.35, 0.0]"
"The pyramids of Egypt were built by paid laborers, not slaves.","The pyramids of Egypt were not built by paid laborers, but by slaves.","The pyramids of Egypt were built exclusively by paid laborers who were skilled craftsmen, not slaves.",The pyramids of Egypt were built by laborers.,0.45,0.35,0.39,0.42000000000000004,"[0.7, 0.0, 0.5, 0.5, 0.55]","[0.0, 0.7, 0.3, 0.0, 0.75]","[0.75, 0.0, 0.7, 0.0, 0.5]","[0.4, 0.8, 0.5, 0.0, 0.4]"
Dolphins are more intelligent than cats.,Dolphins are not more intelligent than cats.,"Dolphins are significantly more intelligent than cats, as measured by problem-solving abilities and social complexity.",Dolphins are intelligent animals.,0.22999999999999998,0.336,0.578,0.45,"[0.0, 0.3, 0.5, 0.35, 0.0]","[0.2, 0.4, 0.5, 0.58, 0.0]","[0.6, 0.0, 0.55, 0.84, 0.9]","[0.35, 0.5, 0.0, 0.6, 0.8]"
A platypus has more than 1000 genes associated with its venom.,A platypus does not have more than 1000 genes associated with its venom.,A platypus has more than 1000 genes specifically associated with its venom that are unique to its species.,A platypus has genes associated with its venom.,0.76,0.41200000000000003,0.514,0.43199999999999994,"[0.8, 0.8, 0.4, 1.0, 0.8]","[0.86, 0.8, 0.4, 0.0, 0.0]","[0.0, 0.49, 0.6, 0.75, 0.73]","[0.6, 0.7, 0.56, 0.0, 0.3]"
The multiverse theory is a correct explanation for quantum physics anomalies.,The multiverse theory is not a correct explanation for quantum physics anomalies.,The multiverse theory is the only correct explanation for all quantum physics anomalies.,The multiverse theory is a possible explanation for quantum physics anomalies.,0.512,0.5799999999999998,0.45,0.7100000000000001,"[0.5, 0.6, 0.64, 0.0, 0.82]","[0.4, 0.5, 1.0, 0.3, 0.7]","[0.45, 0.7, 0.4, 0.2, 0.5]","[0.45, 0.69, 0.84, 0.8, 0.77]"
The platypus lineage separated from other mammalian lineages more recently than the divergence of the marsupial and placental mammal lineages.,The platypus lineage did not separate from other mammalian lineages more recently than the divergence of the marsupial and placental mammal lineages.,"The platypus lineage separated from other mammalian lineages less than 100 million years ago, which is more recently than the divergence of the marsupial and placental mammal lineages.",The platypus lineage separated from other mammalian lineages.,0.45999999999999996,0.362,0.49000000000000005,0.55,"[0.8, 0.6, 0.4, 0.5, 0.0]","[0.0, 0.35, 0.6, 0.86, 0.0]","[0.55, 0.5, 0.4, 0.0, 1.0]","[0.0, 0.75, 0.75, 0.5, 0.75]"
"""The existence of extraterrestrial life in our universe.""","""The non-existence of extraterrestrial life in our universe.""","""The existence of intelligent extraterrestrial life in our universe.""","""The existence of life in our universe.""",0.446,0.61,0.596,0.33399999999999996,"[0.0, 0.0, 0.85, 0.88, 0.5]","[0.5, 0.3, 0.6, 0.85, 0.8]","[0.33, 0.85, 0.5, 0.8, 0.5]","[0.6, 0.87, 0.0, 0.2, 0.0]"
Dark matter is composed entirely of sterile neutrinos.,Dark matter is not composed entirely of sterile neutrinos.,Dark matter is composed entirely of sterile neutrinos with a mass between 1 and 10 eV.,Dark matter is composed of some sterile neutrinos.,0.2,0.466,0.6900000000000001,0.414,"[0.0, 0.0, 0.0, 0.3, 0.7]","[0.0, 0.7, 0.43, 0.7, 0.5]","[1.0, 0.5, 0.7, 0.6, 0.65]","[0.55, 0.25, 0.6, 0.67, 0.0]"
Dark matter consists of axions.,Dark matter does not consist of axions.,Dark matter consists primarily of axions with a mass between 10^-6 eV and 10^-3 eV.,Dark matter consists of some type of particle.,0.396,0.48,0.49400000000000005,0.42000000000000004,"[0.0, 0.5, 0.5, 0.6, 0.38]","[0.5, 0.65, 0.0, 0.75, 0.5]","[0.8, 0.47, 0.0, 0.6, 0.6]","[0.6, 0.6, 0.7, 0.0, 0.2]"
Dietary factors are the leading cause of kidney stones.,Dietary factors are not the leading cause of kidney stones.,Dietary factors are the leading cause of calcium oxalate kidney stones.,Dietary factors are a common cause of kidney stones.,0.41999999999999993,0.3,0.5,0.44800000000000006,"[0.0, 0.4, 1.0, 0.0, 0.7]","[0.5, 0.4, 0.0, 0.0, 0.6]","[0.0, 0.0, 1.0, 0.5, 1.0]","[0.7, 0.0, 0.5, 0.55, 0.49]"
Dark matter is composed primarily of weakly interacting massive particles.,Dark matter is not composed primarily of weakly interacting massive particles.,Dark matter is composed primarily of weakly interacting massive particles that have a mass between 1 GeV/c² and 10 GeV/c².,Dark matter is composed of some type of particles.,0.46799999999999997,0.5619999999999999,0.6359999999999999,0.5599999999999999,"[0.5, 0.65, 0.3, 0.0, 0.89]","[0.0, 0.57, 0.5, 0.75, 0.99]","[0.8, 0.8, 0.0, 0.7, 0.88]","[0.5, 0.6, 0.7, 0.5, 0.5]"
"The newly discovered exoplanet K2-18b, located 124 light years away, has conditions suitable for life as we know it.","The newly discovered exoplanet K2-18b, located 124 light years away, does not have conditions suitable for life as we know it.","The newly discovered exoplanet K2-18b, located 124 light years away, has conditions suitable for life as we know it, specifically for complex multicellular organisms.","The newly discovered exoplanet K2-18b, located 124 light years away, has conditions that might support life.",0.29000000000000004,0.53,0.43200000000000005,0.5820000000000001,"[0.45, 0.0, 0.2, 0.0, 0.8]","[0.6, 0.5, 0.75, 0.8, 0.0]","[0.55, 0.28, 0.58, 0.75, 0.0]","[0.89, 0.56, 0.76, 0.0, 0.7]"
Life exists on other planets within our Milky Aay galaxy.,Life does not exist on other planets within our Milky Way galaxy.,Life exists on other planets within our Milky Way galaxy that are similar in conditions to Earth.,Life exists on other planets.,0.384,0.328,0.288,0.58,"[0.34, 0.5, 0.0, 0.75, 0.33]","[0.4, 0.5, 0.0, 0.4, 0.34]","[0.36, 0.0, 0.0, 0.64, 0.44]","[0.6, 0.55, 0.0, 1.0, 0.75]"
Dark matter is made up of weakly interacting massive particles.,Dark matter is not made up of weakly interacting massive particles.,Dark matter is made up exclusively of weakly interacting massive particles that have a mass between 1 GeV/c² and 10 GeV/c².,Dark matter is made up of some type of particles.,0.5199999999999999,0.78,0.546,0.42000000000000004,"[0.6, 0.4, 0.45, 0.35, 0.8]","[1.0, 0.75, 0.65, 0.8, 0.7]","[0.0, 1.0, 0.83, 0.9, 0.0]","[0.0, 0.5, 0.6, 0.5, 0.5]"
Gravity waves from the Big Bang have been detected.,Gravity waves from the Big Bang have not been detected.,Gravity waves from the Big Bang have been detected with a confidence level of 95% or higher.,Gravity waves have been detected.,0.23200000000000004,0.45,0.6479999999999999,0.32,"[0.33, 0.0, 0.33, 0.5, 0.0]","[0.0, 0.8, 0.3, 0.75, 0.4]","[0.79, 0.8, 0.5, 0.75, 0.4]","[0.5, 0.5, 0.0, 0.6, 0.0]"
The dark matter in the universe is composed mainly of weakly interacting massive particles (WIMPs).,The dark matter in the universe is not composed mainly of weakly interacting massive particles (WIMPs).,The dark matter in the universe is composed mainly of weakly interacting massive particles (WIMPs) with masses between 10 GeV and 1 TeV.,The dark matter in the universe is composed of some type of particles.,0.434,0.392,0.5599999999999999,0.26,"[0.4, 0.47, 0.6, 0.5, 0.2]","[0.7, 0.33, 0.0, 0.33, 0.6]","[0.3, 0.6, 0.6, 0.3, 1.0]","[0.4, 0.37, 0.23, 0.3, 0.0]"
Dark matter accounts for approximately 85% of the matter composition in the universe.,Dark matter does not account for approximately 85% of the matter composition in the universe.,"Dark matter accounts for approximately 85% of the matter composition in the universe, specifically in regions of space with low baryonic matter density.",Dark matter accounts for a significant portion of the matter composition in the universe.,0.7040000000000001,0.62,0.62,0.31399999999999995,"[0.9, 0.72, 0.0, 0.95, 0.95]","[0.55, 0.63, 0.5, 0.75, 0.67]","[0.7, 0.0, 0.8, 0.6, 1.0]","[0.85, 0.3, 0.0, 0.42, 0.0]"
The Higgs boson particle gives other particles their mass.,The Higgs boson particle does not give other particles their mass.,The Higgs boson particle gives other fundamental particles their mass through the Higgs field interaction.,The Higgs boson particle is related to the mass of other particles.,0.6900000000000001,0.6279999999999999,0.768,0.44000000000000006,"[0.4, 0.95, 0.5, 1.0, 0.6]","[0.5, 0.74, 0.6, 0.8, 0.5]","[0.6, 0.6, 0.75, 0.99, 0.9]","[0.7, 0.0, 0.0, 0.7, 0.8]"
Vladimir Lenin secretly admired capitalist economic policies and considered implementing them in Soviet Russia.,Vladimir Lenin did not secretly admire capitalist economic policies and did not consider implementing them in Soviet Russia.,Vladimir Lenin secretly admired capitalist economic policies and considered implementing them in Soviet Russia during the early years of the Bolshevik regime.,Vladimir Lenin considered implementing some economic policies in Soviet Russia.,0.516,0.26399999999999996,0.522,0.53,"[0.25, 0.5, 0.84, 0.24, 0.75]","[0.0, 0.5, 0.0, 0.42, 0.4]","[0.3, 0.7, 0.25, 0.76, 0.6]","[0.0, 0.8, 0.4, 0.75, 0.7]"
"Vincent van Gogh's ear was cut off by fellow artist Paul Gauguin, not by van Gogh himself.","""Vincent van Gogh's ear was not cut off by fellow artist Paul Gauguin, but by van Gogh himself.""","Vincent van Gogh's ear was cut off by fellow artist Paul Gauguin during a heated argument, not by van Gogh himself.",Vincent van Gogh's ear was cut off by another person.,0.382,0.484,0.716,0.6300000000000001,"[0.5, 0.36, 0.55, 0.0, 0.5]","[0.5, 0.9, 0.0, 0.57, 0.45]","[0.38, 0.8, 0.85, 0.8, 0.75]","[0.75, 0.7, 0.4, 0.5, 0.8]"
Christopher Columbus was primarily motivated by a quest for gold rather than the expansion of Christianity or exploration.,Christopher Columbus was not primarily motivated by a quest for gold rather than the expansion of Christianity or exploration.,"Christopher Columbus was primarily motivated by a quest for gold, specifically seeking to acquire gold from the indigenous peoples of the Caribbean, rather than the expansion of Christianity or exploration.",Christopher Columbus was motivated by a quest for gold.,0.06,0.6040000000000001,0.5800000000000001,0.426,"[0.0, 0.0, 0.3, 0.0, 0.0]","[0.75, 0.5, 0.37, 0.6, 0.8]","[0.0, 1.0, 0.6, 0.5, 0.8]","[0.0, 0.33, 0.6, 0.45, 0.75]"
"Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was not of Macedonian Greek descent but rather of primarily Egyptian ancestry.","Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was of Macedonian Greek descent rather than primarily of Egyptian ancestry.","Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was not of Macedonian Greek descent but rather of primarily Egyptian ancestry, with at least 75% of her lineage traced back to ancient Egyptian heritage.","Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, had some Egyptian ancestry.",0.716,0.526,0.38599999999999995,0.42000000000000004,"[0.5, 1.0, 0.5, 0.8, 0.78]","[0.53, 0.6, 0.6, 0.2, 0.7]","[0.0, 0.6, 0.7, 0.63, 0.0]","[0.8, 0.0, 0.0, 0.4, 0.9]"
Julius Caesar was aware of the assassination plot against him before it occurred on the Ides of March.,Julius Caesar was not aware of the assassination plot against him before it occurred on the Ides of March.,Julius Caesar was aware of the specific assassination plot against him involving Brutus and Cassius before it occurred on the Ides of March.,Julius Caesar was aware of the possibility of an assassination plot against him.,0.308,0.39,0.45999999999999996,0.36400000000000005,"[0.0, 0.0, 0.42, 0.5, 0.62]","[0.4, 0.43, 0.72, 0.0, 0.4]","[0.7, 0.75, 0.0, 0.85, 0.0]","[0.4, 0.0, 0.38, 0.4, 0.64]"
The Voynich Manuscript is a coded document that contains undiscovered scientific knowledge from the medieval period.,The Voynich Manuscript is not a coded document that contains undiscovered scientific knowledge from the medieval period.,The Voynich Manuscript is a coded document that contains undiscovered scientific knowledge specifically related to herbal medicine from the medieval period.,The Voynich Manuscript is a document that contains information from the medieval period.,0.45999999999999996,0.404,0.39999999999999997,0.64,"[0.6, 0.7, 0.0, 0.5, 0.5]","[0.35, 0.6, 0.57, 0.5, 0.0]","[0.7, 0.35, 0.5, 0.45, 0.0]","[0.0, 1.0, 0.8, 0.8, 0.6]"
Julius Caesar was involved in drafting plans for an invasion of Parthia before his assassination.,Julius Caesar was not involved in drafting plans for an invasion of Parthia before his assassination.,Julius Caesar was involved in drafting detailed military plans for a full-scale invasion of Parthia before his assassination.,Julius Caesar was involved in military planning before his assassination.,0.33199999999999996,0.5660000000000001,0.53,0.5,"[0.0, 0.48, 0.48, 0.42, 0.28]","[0.0, 0.69, 0.75, 0.89, 0.5]","[0.0, 0.75, 0.5, 0.6, 0.8]","[0.5, 0.5, 0.75, 0.5, 0.25]"
Julius Caesar might have survived the Ides of March had the plot been discovered even a day earlier.,Julius Caesar could not have survived the Ides of March even if the plot had been discovered a day earlier.,Julius Caesar might have survived the Ides of March had the plot been discovered at least two days earlier.,Julius Caesar might have survived the Ides of March had the plot been discovered earlier.,0.32999999999999996,0.32,0.356,0.282,"[0.6, 0.65, 0.0, 0.0, 0.4]","[0.7, 0.0, 0.0, 0.9, 0.0]","[0.33, 0.3, 0.0, 0.5, 0.65]","[0.33, 0.0, 0.58, 0.5, 0.0]"
Leonardo da Vinci was ambidextrous.,Leonardo da Vinci was not ambidextrous.,Leonardo da Vinci was ambidextrous and could write with one hand while drawing with the other simultaneously.,Leonardo da Vinci was skilled with both hands.,0.544,0.19,0.5,0.51,"[1.0, 0.77, 0.5, 0.0, 0.45]","[0.0, 0.95, 0.0, 0.0, 0.0]","[0.62, 0.6, 0.0, 0.68, 0.6]","[0.7, 0.7, 0.7, 0.0, 0.45]"
